         205579 function calls (203443 primitive calls) in 4.563 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       16    0.000    0.000    0.000    0.000 StringIO.py:119(read)
       16    0.000    0.000    0.000    0.000 StringIO.py:38(_complain_ifclosed)
        8    0.000    0.000    0.000    0.000 StringIO.py:54(__init__)
        1    0.001    0.001    0.004    0.004 __init__.py:22(<module>)
        2    0.000    0.000    0.000    0.000 _iotools.py:30(_is_string_like)
        8    0.000    0.000    0.000    0.000 _methods.py:25(_amax)
        8    0.000    0.000    0.000    0.000 _methods.py:28(_amin)
     1538    0.001    0.000    0.007    0.000 _methods.py:31(_sum)
       16    0.000    0.000    0.000    0.000 _methods.py:40(_all)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 abc.py:86(__new__)
        1    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 ast.py:100(AssList)
        1    0.000    0.000    0.000    0.000 ast.py:1011(Or)
        1    0.000    0.000    0.000    0.000 ast.py:1027(Pass)
        1    0.000    0.000    0.000    0.000 ast.py:1040(Power)
        1    0.000    0.000    0.000    0.000 ast.py:1055(Print)
        1    0.000    0.000    0.000    0.000 ast.py:1077(Printnl)
        1    0.000    0.000    0.000    0.000 ast.py:1099(Raise)
        1    0.000    0.000    0.000    0.000 ast.py:1126(Return)
        1    0.000    0.000    0.000    0.000 ast.py:1140(RightShift)
        1    0.000    0.000    0.000    0.000 ast.py:1155(Set)
        1    0.000    0.000    0.000    0.000 ast.py:116(AssName)
        1    0.000    0.000    0.000    0.000 ast.py:1171(Slice)
        1    0.000    0.000    0.000    0.000 ast.py:1199(Sliceobj)
        1    0.000    0.000    0.000    0.000 ast.py:1215(Stmt)
        1    0.000    0.000    0.000    0.000 ast.py:1231(Sub)
        1    0.000    0.000    0.000    0.000 ast.py:1246(Subscript)
        1    0.000    0.000    0.000    0.000 ast.py:1269(TryExcept)
        1    0.000    0.000    0.000    0.000 ast.py:1294(TryFinally)
        1    0.000    0.000    0.000    0.000 ast.py:1309(Tuple)
        1    0.000    0.000    0.000    0.000 ast.py:131(AssTuple)
        8    0.000    0.000    0.000    0.000 ast.py:1310(__init__)
        1    0.000    0.000    0.000    0.000 ast.py:1325(UnaryAdd)
        1    0.000    0.000    0.000    0.000 ast.py:1339(UnarySub)
        1    0.000    0.000    0.000    0.000 ast.py:1353(While)
        1    0.000    0.000    0.000    0.000 ast.py:1378(With)
        1    0.000    0.000    0.000    0.000 ast.py:1403(Yield)
        1    0.000    0.000    0.000    0.000 ast.py:147(Assert)
        1    0.000    0.000    0.000    0.000 ast.py:169(Assign)
        1    0.000    0.000    0.000    0.000 ast.py:190(AugAssign)
        1    0.000    0.000    0.000    0.000 ast.py:206(Backquote)
        1    0.000    0.000    0.000    0.000 ast.py:220(Bitand)
        1    0.000    0.000    0.000    0.000 ast.py:23(Node)
        1    0.000    0.000    0.000    0.000 ast.py:236(Bitor)
        1    0.000    0.000    0.000    0.000 ast.py:252(Bitxor)
        1    0.000    0.000    0.000    0.000 ast.py:268(Break)
        1    0.000    0.000    0.000    0.000 ast.py:281(CallFunc)
        1    0.000    0.000    0.000    0.000 ast.py:310(Class)
        1    0.000    0.000    0.000    0.000 ast.py:339(Compare)
        1    0.000    0.000    0.000    0.000 ast.py:35(EmptyNode)
        1    0.000    0.000    0.000    0.000 ast.py:360(Const)
       44    0.000    0.000    0.000    0.000 ast.py:361(__init__)
        1    0.000    0.000    0.000    0.000 ast.py:374(Continue)
        1    0.000    0.000    0.000    0.000 ast.py:38(Expression)
        1    0.000    0.000    0.000    0.000 ast.py:387(Decorators)
        1    0.000    0.000    0.001    0.001 ast.py:4(<module>)
        1    0.000    0.000    0.000    0.000 ast.py:403(Dict)
        8    0.000    0.000    0.000    0.000 ast.py:404(__init__)
        8    0.000    0.000    0.000    0.000 ast.py:41(__init__)
        1    0.000    0.000    0.000    0.000 ast.py:419(Discard)
        1    0.000    0.000    0.000    0.000 ast.py:433(Div)
        1    0.000    0.000    0.000    0.000 ast.py:448(Ellipsis)
        1    0.000    0.000    0.000    0.000 ast.py:461(Exec)
        8    0.000    0.000    0.000    0.000 ast.py:47(getChildNodes)
        1    0.000    0.000    0.000    0.000 ast.py:487(FloorDiv)
        1    0.000    0.000    0.000    0.000 ast.py:502(For)
        1    0.000    0.000    0.000    0.000 ast.py:53(Add)
        1    0.000    0.000    0.000    0.000 ast.py:530(From)
        1    0.000    0.000    0.000    0.000 ast.py:546(Function)
        1    0.000    0.000    0.000    0.000 ast.py:585(GenExpr)
        1    0.000    0.000    0.000    0.000 ast.py:602(GenExprFor)
        1    0.000    0.000    0.000    0.000 ast.py:627(GenExprIf)
        1    0.000    0.000    0.000    0.000 ast.py:641(GenExprInner)
        1    0.000    0.000    0.000    0.000 ast.py:662(Getattr)
        1    0.000    0.000    0.000    0.000 ast.py:677(Global)
        1    0.000    0.000    0.000    0.000 ast.py:68(And)
        1    0.000    0.000    0.000    0.000 ast.py:691(If)
        1    0.000    0.000    0.000    0.000 ast.py:713(IfExp)
        1    0.000    0.000    0.000    0.000 ast.py:729(Import)
        1    0.000    0.000    0.000    0.000 ast.py:743(Invert)
        1    0.000    0.000    0.000    0.000 ast.py:757(Keyword)
        1    0.000    0.000    0.000    0.000 ast.py:772(Lambda)
        1    0.000    0.000    0.000    0.000 ast.py:803(LeftShift)
        1    0.000    0.000    0.000    0.000 ast.py:818(List)
        1    0.000    0.000    0.000    0.000 ast.py:834(ListComp)
        1    0.000    0.000    0.000    0.000 ast.py:84(AssAttr)
        1    0.000    0.000    0.000    0.000 ast.py:855(ListCompFor)
        1    0.000    0.000    0.000    0.000 ast.py:879(ListCompIf)
        1    0.000    0.000    0.000    0.000 ast.py:893(SetComp)
        1    0.000    0.000    0.000    0.000 ast.py:914(DictComp)
        1    0.000    0.000    0.000    0.000 ast.py:938(Mod)
        1    0.000    0.000    0.000    0.000 ast.py:953(Module)
        1    0.000    0.000    0.000    0.000 ast.py:968(Mul)
        1    0.000    0.000    0.000    0.000 ast.py:983(Name)
        8    0.000    0.000    0.000    0.000 ast.py:984(__init__)
        1    0.000    0.000    0.000    0.000 ast.py:997(Not)
        1    0.000    0.000    0.000    0.000 consts.py:2(<module>)
        1    0.000    0.000    0.000    0.000 copy_reg.py:14(pickle)
        1    0.000    0.000    0.000    0.000 copy_reg.py:27(constructor)
     9216    0.030    0.000    0.236    0.000 fitpack.py:522(splev)             <------------
        6    0.000    0.000    0.000    0.000 fitpack2.py:166(_reset_class)
        6    0.000    0.000    0.000    0.000 fitpack2.py:190(_set_class)
     9216    0.015    0.000    0.261    0.000 fitpack2.py:231(__call__)         <------------
        6    0.000    0.000    0.000    0.000 fitpack2.py:441(__init__)
      200    0.000    0.000    0.001    0.000 fitpack2.py:591(__call__)
        4    0.000    0.000    0.001    0.000 fitpack2.py:949(__init__)
        8    0.000    0.000    0.000    0.000 format.py:158(_check_version)
        8    0.000    0.000    0.000    0.000 format.py:188(read_magic)
        8    0.000    0.000    0.001    0.000 format.py:415(_filter_header)
        8    0.000    0.000    0.008    0.001 format.py:453(_read_array_header) <------------
        8    0.044    0.005    0.216    0.027 format.py:570(read_array)         <------------
      618    0.001    0.000    0.160    0.000 format.py:746(_read_bytes)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:1075(squeeze)
       12    0.000    0.000    0.000    0.000 fromnumeric.py:1283(ravel)
       16    0.000    0.000    0.000    0.000 fromnumeric.py:1844(all)
     1546    0.008    0.000    0.010    0.000 function_base.py:1055(diff)       <------------
     1538    0.040    0.000    0.058    0.000 function_base.py:108(logspace)    <------------
     1538    0.016    0.000    0.038    0.000 function_base.py:3162(trapz)      <------------
     1539    0.011    0.000    0.018    0.000 function_base.py:9(linspace)      <------------
        1    0.000    0.000    0.000    0.000 future.py:16(FutureParser)
        1    0.000    0.000    0.000    0.000 future.py:3(<module>)
        1    0.000    0.000    0.000    0.000 future.py:47(BadFutureParser)
        1    0.000    0.000    0.000    0.000 index_tricks.py:231(_retval)
        1    0.000    0.000    0.000    0.000 index_tricks.py:251(__getitem__)
        8    0.000    0.000    0.000    0.000 main_sp_work.py:127(nearestindex_WN)
        1    0.011    0.011    4.563    4.563 main_sp_work.py:140(main)         <------------
        1    0.000    0.000    0.001    0.001 main_sp_work.py:42(read_atmprofile)
        2    2.624    1.312    4.096    2.048 main_sp_work.py:92(read_lookuptable)  <------------
        1    0.000    0.000    0.000    0.000 misc.py:11(Set)
        1    0.000    0.000    0.000    0.000 misc.py:2(<module>)
        1    0.000    0.000    0.000    0.000 misc.py:31(Stack)
        2    0.000    0.000    0.000    0.000 npyio.py:116(__init__)
        2    0.001    0.000    0.002    0.001 npyio.py:127(zipfile_factory)
        2    0.000    0.000    0.002    0.001 npyio.py:190(__init__)
        2    0.000    0.000    0.000    0.000 npyio.py:214(close)
        2    0.000    0.000    0.000    0.000 npyio.py:227(__del__)
